SMILES,%F,SOURCE
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,66.0,Hou
Cc1nnc(C(=O)NC(C)(C)C2=NC(=C(O)NCc3ccc(F)cc3)C(=O)C(=O)N2C)o1,31.8,Kim
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,80.0,Hou
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C,65.0,Hou
NCCNCCNCCN,92.5,Hou
CC(=O)NO,55.0,Hou
CCCn1cnc(C[C@H](CCCN)C(=O)O)c1,23.0,chembl25
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,80.0,Hou
O=c1[nH]c2ccccc2n1C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,40.0,Hou
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C,18.0,Kim
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,55.0,Kim
N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@H]4C[C@@H]4F)c3c2Cl)CC12CC2,89.0,Hou
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,95.0,Kim
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,20.0,Hou
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,93.0,Kim
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,2.0,Hou
Nc1ccc(O)c(C(=O)O)c1,25.0,Hou
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,0.0,Kim
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,99.0,Kim
CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,60.0,chembl25
CN1C(=O)[C@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,75.0,chembl25
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,93.0,chembl25
C=CCc1ccccc1OCC(O)CNC(C)C,8.0,Kim
C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21,2.5,Hou
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0.0,Hou
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0.0,Hou
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,90.0,Hou
C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O,72.0,Hou
CC[N+](C)(C)Cc1ccccc1Br,23.0,Hou
O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,70.0,Hou
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,6.2,chembl25
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,92.0,Kim
O=S(=O)(O)CCS,62.0,Kim
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,0.0,Hou
O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,75.0,chembl25
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,80.0,Kim
COc1ccccc1OCCNCC(O)OCc1cccc2[nH]c3ccccc3c12,25.0,Kim
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,50.0,Kim
CCC1=C[C@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,27.0,Hou
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,91.0,Kim
C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1,92.0,chembl25
CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(=N)O)CC1)c1ccccc1S2,19.0,chembl25
CN[C@@H](C)[C@@H](O)c1ccccc1,100.0,Hou
